label,EOA,PS1,3Rtau,4Rtau,TDP43A,TDP43C,DLB,LOA
158,-4.217124382228717,-3.268824480381403,-3.5874203289575926,-1.8163552749741028,-2.8852999359227742,-0.9340447708184014,-0.9896940484577094,-1.6760293168719131
159,-5.305560273903665,-4.400519900533994,-4.5724767292343484,-1.5880705877740142,-3.2539072289550357,-0.12399903179394399,-0.4113082585815343,-1.6664894613411154
160,-5.368144996766939,-4.407007758901233,-3.823395199552717,-3.1141907253420618,-3.558640656467708,-0.5389803065761694,-1.4224298162882845,-1.6665620088460709
161,-2.452237558363385,-1.6613571156491034,-4.881538097835511,-2.303419778999789,-2.638513828297768,-2.4028797888809046,-1.6014617551244252,-1.6544718500160798
162,-4.205451431727086,-3.5545922370483534,-4.606157329870621,-3.4045166345503133,-3.8587673626742083,-3.326867363283964,-1.6632222873846523,-2.470683341461393
163,-7.974587257470301,-5.856011572888381,-2.8907225222376307,-2.563243877069167,-3.0902224863874577,-0.9355406776286561,-1.7633693751215602,-2.3739462538875387
164,-2.0796812500050565,-1.7478171717556161,-2.861152072323415,-2.0439268962933523,-1.5890753131270905,-0.36941708283525176,-0.9830142552985112,-0.8221703281930576
165,-7.514453483204864,-5.646671252422347,-1.6415931757547721,-2.0419087857829132,-3.0776745067645224,-0.09656587137331232,-2.0094757905006846,-1.9614405799752908
166,-4.5404007206143095,-2.944387896669129,-1.1768941666768085,-1.6769437198681798,-2.497843230800888,-0.6022303713350856,-2.1960665320352217,-1.9271184568751392
167,-1.4803554389159523,-1.4041163347422267,-2.0176817532785845,-1.1175467112822708,-1.3581076689716232,-0.17646307746800743,-0.8149371676926853,-0.28378932718143507
168,-4.066163563299419,-1.356145604235216,-5.1171699047988355,-2.736153405998772,-3.530018740292526,-2.6813532724189213,-1.061338759105815,-2.1641929509784212
169,-4.365341161084269,-2.3294572360578516,-5.110138127535394,-2.2692279481197066,-3.42001113391904,-2.1669750346467294,-1.0924623600398606,-1.7993330124900686
170,-3.901628763497494,-1.9848340008598417,-4.890047760180988,-2.766301409170873,-3.9157516317221885,-1.5887178933167656,-1.5880694745048156,-2.1947843486278136
171,-2.441726656383356,-0.8516619102696735,-3.6331182551222905,-2.296590385537444,-2.476736910824017,-2.3276712989432817,-1.1027516680386482,-1.8949231351938105
172,-4.072094886929588,-3.2461144974741245,-4.292125483965479,-2.701934462028211,-4.056120300531057,-1.3664184957065835,-1.2336618410251874,-1.4072079905866968
173,-4.753726148247648,-1.8415459128993774,-4.296065073447563,-2.176799941955493,-2.757734493536839,-6.482131054887385,-2.6010600060005964,-3.2186913032631796
174,-5.380757273008016,-2.7047041085044894,-5.498085267212612,-3.45429257116673,-3.2193671968556705,-7.317777953702274,-2.910966724691637,-4.512087483591765
